17;8;26;4;78;35;52;6;92;65;61;48;89;33
67;74;79;29;14;16;80;61;93;90;54;9;44;84
40;61;100;69;12;5;43;34;72;26;94;96;36;11
76;12;2;10;8;23;76;92;80;28;76;13;56;81
8;48;41;25;2;19;64;33;62;31;51;58;25;49
29;30;90;39;69;82;12;100;95;84;35;19;96;48
38;28;5;75;53;65;23;91;25;99;84;21;85;72
87;72;52;56;3;94;63;90;14;83;36;83;37;25
13;55;63;99;4;49;14;22;90;14;50;87;32;35
93;16;37;25;39;66;12;16;93;33;30;18;40;45
8;82;5;79;38;66;22;65;65;63;38;38;37;59
46;7;56;47;53;11;29;47;23;20;21;97;71;21
53;80;61;31;84;88;48;70;14;18;72;45;28;25
71;56;3;7;21;27;64;18;77;76;18;27;41;18
