91;82;26;39;23;65;46;90;50;80;54;78;47;115;47
71;62;81;91;31;82;15;112;64;27;55;72;46;75;78
72;35;117;17;34;115;12;88;106;65;63;43;11;102;70
53;25;28;15;61;62;112;114;67;114;44;62;37;65;73
28;25;27;27;99;51;94;120;35;35;109;47;98;70;11
101;43;34;29;83;86;57;98;22;47;38;114;26;94;119
31;108;75;106;116;23;74;80;12;17;115;77;18;96;115
86;72;61;87;68;108;45;41;33;49;24;116;73;94;74
119;31;97;23;86;62;82;46;16;71;83;23;57;68;100
111;34;37;80;63;31;32;59;96;82;58;28;11;120;114
42;102;36;56;115;92;60;37;26;60;63;25;36;68;12
13;92;18;79;82;17;64;50;46;74;49;68;102;47;98
52;30;100;118;80;116;68;117;120;22;28;48;41;48;42
43;50;38;56;80;81;26;55;25;81;65;12;99;107;32
39;30;11;10;29;34;109;81;91;28;99;40;52;79;64
